parcel_id,order_id,customer_id,created_at,delivery_date,batch_id,depot_id,dropoff_lat,dropoff_lng,dropoff_address,dropoff_zone_id,dropoff_postal_code,dropoff_location_type,floor_number,has_elevator,road_access_type,weight_kg,length_cm,width_cm,height_cm,volume_m3,actual_shape,density_kg_m3,fragile,stackable,max_stack_weight_kg,loading_orientation_fixed,top_face_id,do_not_tilt,keep_dry,two_person_lift,requires_signature,hazardous,hazmat_class,requires_refrigeration,temp_min_celsius,temp_max_celsius,category,priority_level,service_type,is_return,attempt_number,time_window_start,time_window_end,time_window_flexibility,customer_available_probability,preferred_time_slot
P-0000011,O-0000010,C-0004629,2026-01-04 10:55:56,2026-01-05,B-20260105-001,D-CMB-001,6.896918,79.8541,"No. 260, Marine Drive, Floor 1, Bambalapitiya, Sri Lanka",Z-CMB-005,00400,residential,1,False,standard,10.523,92.2,39.8,49.5,0.18164322,irregular,57.932,False,True,38.95,False,,False,False,False,False,False,,False,,,large_parcel,standard,door_to_door,False,1,12:23:00,17:26:00,anytime,0.658,afternoon
P-0000012,O-0000010,C-0001766,2026-01-04 11:04:45,2026-01-05,B-20260105-001,D-CMB-001,6.938331,79.854513,"No. 235, Canal Road, Floor 4, Pettah, Sri Lanka",Z-CMB-002,01100,commercial,4,False,standard,0.989,22.5,19.0,10.0,0.004275,cuboid,231.345,False,True,12.12,False,,False,True,False,False,False,,False,,,small_parcel,standard,door_to_door,False,1,12:00:00,19:32:00,anytime,0.875,any
P-0000013,O-0000011,C-0004570,2026-01-04 10:55:40,2026-01-05,B-20260105-001,D-CMB-001,6.908459,79.849579,"No. 253, Flower Road, Floor 7, Kollupitiya, Sri Lanka",Z-CMB-004,00300,commercial,7,False,standard,2.177,26.5,20.9,18.7,0.010356995,cuboid,210.196,False,False,0.0,False,,False,True,False,False,False,,False,,,small_parcel,express,door_to_door,True,1,09:18:00,12:56:00,anytime,0.867,morning
P-0000014,O-0000011,C-0006731,2026-01-02 15:43:05,2026-01-05,B-20260105-001,D-CMB-001,6.933806,79.841594,"No. 384, Temple Road, Floor 5, Colombo Fort, Sri Lanka",Z-CMB-001,00100,commercial,5,False,standard,35.375,127.6,74.8,66.0,0.62993568,irregular,56.157,False,False,0.0,False,,False,True,True,True,False,,False,,,bulky,standard,door_to_door,False,1,08:59:00,17:49:00,flexible_±30min,0.877,any
P-0000015,O-0000012,C-0007025,2026-01-03 15:19:42,2026-01-05,B-20260105-001,D-CMB-001,6.89455,79.857075,"No. 256, Duplication Road, Floor 1, Bambalapitiya, Sri Lanka",Z-CMB-005,00400,residential,1,False,standard,4.688,52.8,29.7,20.2,0.031676832,cuboid,147.995,False,False,0.0,False,,False,False,False,False,False,,False,,,medium_parcel,standard,door_to_door,False,1,09:07:00,18:28:00,flexible_±30min,0.833,morning
P-0000016,O-0000013,C-0001770,2026-01-04 15:10:27,2026-01-05,B-20260105-001,D-CMB-001,6.939457,79.854089,"No. 150, Galle Road, Floor 10, Pettah, Sri Lanka",Z-CMB-002,01100,commercial,10,True,standard,2.753,50.2,28.9,21.5,0.03119177,cuboid,88.26,False,True,12.85,False,,False,True,False,False,False,,False,,,medium_parcel,standard,door_to_door,False,1,10:21:00,18:35:00,fixed,0.828,any
P-0000017,O-0000014,C-0017358,2026-01-03 11:59:39,2026-01-05,B-20260105-001,D-CMB-001,6.938361,79.855133,"No. 31, Temple Road, Floor 1, Pettah, Sri Lanka",Z-CMB-002,01100,industrial,1,False,restricted_access,0.949,32.0,20.5,11.3,0.0074128,cuboid,128.022,True,False,0.0,True,length_width,True,False,False,True,False,,False,,,small_parcel,standard,door_to_door,False,1,07:55:00,17:54:00,flexible_±30min,0.99,any
P-0000018,O-0000015,C-0006985,2026-01-03 14:55:50,2026-01-05,B-20260105-001,D-CMB-001,6.947368,79.858185,"No. 365, School Lane, Kotahena, Sri Lanka",Z-CMB-011,01300,commercial,0,False,pedestrian_only,0.485,33.6,16.7,3.3,0.001851696,flat,261.922,False,True,5.6,False,,False,True,False,False,False,,False,,,document,standard,collection_point,False,2,11:24:00,19:46:00,anytime,0.99,evening
P-0000019,O-0000015,C-0007908,2026-01-04 17:19:39,2026-01-05,B-20260105-001,D-CMB-001,6.890939,79.848557,"No. 114, Union Place, Bambalapitiya, Sri Lanka",Z-CMB-005,00400,residential,0,False,standard,2.519,52.4,30.3,14.1,0.022386852,cuboid,112.521,False,True,17.06,False,,False,True,False,False,False,,False,,,medium_parcel,standard,locker_drop,False,1,12:19:00,19:24:00,flexible_±30min,0.686,afternoon
P-0000020,O-0000016,C-0004106,2026-01-03 15:42:33,2026-01-05,B-20260105-001,D-CMB-001,6.943718,79.854285,"No. 256, Marine Drive, Floor 8, Pettah, Sri Lanka",Z-CMB-002,01100,residential,8,True,standard,20.523,101.5,50.0,36.5,0.1852375,cuboid,110.793,False,True,40.58,False,,False,True,False,True,False,,False,,,large_parcel,standard,door_to_door,False,1,07:45:00,17:15:00,flexible_±30min,0.859,afternoon
P-0000021,O-0000017,C-0005745,2026-01-05 08:56:48,2026-01-05,B-20260105-001,D-CMB-001,6.909766,79.849772,"No. 239, Lake Road, Floor 3, Kollupitiya, Sri Lanka",Z-CMB-004,00300,commercial,3,True,restricted_access,4.865,35.0,34.3,28.1,0.03373405,cuboid,144.216,False,True,24.9,True,length_width,True,False,False,False,False,,True,-1.8,1.5,perishable,standard,door_to_door,False,1,09:35:00,18:41:00,flexible_±30min,0.946,any
P-0000022,O-0000018,C-0009444,2026-01-04 13:40:49,2026-01-05,B-20260105-001,D-CMB-001,6.932123,79.835513,"No. 42, Marine Drive, Floor 4, Colombo Fort, Sri Lanka",Z-CMB-001,00100,residential,4,True,standard,3.559,29.5,24.9,19.6,0.01439718,soft_pack,247.201,False,True,21.77,False,,False,True,False,False,False,,False,,,small_parcel,standard,door_to_door,False,1,08:46:00,18:28:00,anytime,0.852,afternoon
P-0000023,O-0000019,C-0015393,2026-01-04 09:51:28,2026-01-05,B-20260105-001,D-CMB-001,6.934923,79.842966,"No. 380, Duplication Road, Floor 5, Colombo Fort, Sri Lanka",Z-CMB-001,00100,commercial,5,True,pedestrian_only,6.531,39.8,32.9,25.5,0.03339021,cuboid,195.596,False,True,28.95,True,length_width,True,True,False,False,False,,True,2.5,4.8,perishable,express,door_to_door,False,1,11:03:00,14:45:00,flexible_±30min,0.881,morning
P-0000024,O-0000020,C-0004531,2026-01-04 13:37:03,2026-01-05,B-20260105-001,D-CMB-001,6.943577,79.860541,"No. 120, Lake Road, Kotahena, Sri Lanka",Z-CMB-011,01300,residential,0,False,standard,3.788,41.7,14.4,18.6,0.011168928,cuboid,339.155,False,True,24.52,False,,False,False,False,False,False,,False,,,small_parcel,express,door_to_door,False,1,13:17:00,17:10:00,fixed,0.825,afternoon
P-0000025,O-0000021,C-0000728,2026-01-03 19:33:38,2026-01-05,B-20260105-001,D-CMB-001,6.914942,79.877752,"No. 328, Palm Grove, Floor 6, Borella, Sri Lanka",Z-CMB-006,00800,residential,6,False,standard,12.684,57.2,42.0,31.0,0.0744744,cuboid,170.314,False,True,40.36,False,,False,True,False,False,False,,False,,,medium_parcel,standard,door_to_door,False,1,08:09:00,17:05:00,flexible_±30min,0.688,morning
P-0000026,O-0000022,C-0009948,2026-01-02 20:33:32,2026-01-05,B-20260105-001,D-CMB-001,6.939465,79.857798,"No. 281, Park Road, Floor 20, Pettah, Sri Lanka",Z-CMB-002,01100,commercial,20,True,standard,4.802,43.8,40.1,16.0,0.02810208,cylinder,170.877,False,False,0.0,False,,False,True,False,True,True,corrosive,False,,,hazmat,standard,door_to_door,False,2,13:19:00,18:19:00,flexible_±30min,0.99,afternoon
P-0000027,O-0000023,C-0012731,2026-01-03 14:31:36,2026-01-05,B-20260105-001,D-CMB-001,6.938742,79.855023,"No. 217, High Level Road, Pettah, Sri Lanka",Z-CMB-002,01100,commercial,0,False,narrow_lane,4.118,34.1,25.8,14.7,0.012932766,cuboid,318.416,False,True,24.97,True,length_width,True,False,False,False,False,,False,,,small_parcel,standard,door_to_door,False,1,10:31:00,19:01:00,anytime,0.99,any
P-0000028,O-0000023,C-0008477,2026-01-04 11:17:02,2026-01-05,B-20260105-001,D-CMB-001,6.95,79.846671,"No. 137, Duplication Road, Pettah, Sri Lanka",Z-CMB-002,01100,industrial,0,False,standard,4.311,53.4,32.4,41.2,0.071282592,cuboid,60.478,False,True,24.05,False,,False,True,False,False,False,,False,,,large_parcel,standard,door_to_door,False,1,10:13:00,19:34:00,anytime,0.789,afternoon
P-0000029,O-0000024,C-0013783,2026-01-03 12:17:26,2026-01-05,B-20260105-001,D-CMB-001,6.938982,79.856058,"No. 193, Baseline Road, Floor 10, Pettah, Sri Lanka",Z-CMB-002,01100,commercial,10,True,standard,4.892,36.1,27.7,15.6,0.015599532,cuboid,313.599,False,True,19.85,False,,False,False,False,False,False,,False,,,small_parcel,express,door_to_door,False,1,08:09:00,11:51:00,flexible_±30min,0.752,morning
P-0000030,O-0000025,C-0010846,2026-01-04 09:50:24,2026-01-05,B-20260105-001,D-CMB-001,6.939757,79.857952,"No. 111, Union Place, Floor 5, Pettah, Sri Lanka",Z-CMB-002,01100,residential,5,True,restricted_access,11.419,72.3,43.8,32.0,0.10133568,cuboid,112.685,False,True,32.52,True,length_width,True,True,False,False,False,,False,,,large_parcel,standard,door_to_door,False,1,11:37:00,20:38:00,anytime,0.83,any
P-0000031,O-0000026,C-0004447,2026-01-04 20:25:40,2026-01-05,B-20260105-001,D-CMB-001,6.923661,79.867447,"No. 34, Hospital Road, Floor 7, Borella, Sri Lanka",Z-CMB-006,00800,commercial,7,True,narrow_lane,3.528,48.1,23.8,31.0,0.03548818,cuboid,99.413,False,False,0.0,True,length_width,False,True,False,False,False,,False,,,medium_parcel,standard,door_to_door,False,1,12:10:00,20:31:00,anytime,0.808,afternoon
P-0000032,O-0000027,C-0008767,2026-01-03 16:05:47,2026-01-05,B-20260105-001,D-CMB-001,6.940625,79.8558,"No. 16, Main Street, Floor 1, Pettah, Sri Lanka",Z-CMB-002,01100,residential,1,False,standard,2.386,28.8,23.1,14.4,0.009580032,cuboid,249.06,False,True,13.62,False,,False,True,False,False,False,,False,,,small_parcel,standard,door_to_door,False,2,10:29:00,19:53:00,flexible_±30min,0.827,afternoon
P-0000033,O-0000027,C-0014982,2026-01-04 17:49:46,2026-01-05,B-20260105-001,D-CMB-001,6.934392,79.841562,"No. 339, Main Street, Floor 2, Colombo Fort, Sri Lanka",Z-CMB-001,00100,commercial,2,True,restricted_access,17.468,59.0,28.9,33.1,0.05643881,cuboid,309.503,False,True,64.28,True,length_height,True,False,False,True,True,limited_quantity,False,,,hazmat,express,door_to_door,False,1,16:39:00,19:58:00,flexible_±30min,0.786,any
P-0000034,O-0000027,C-0015775,2026-01-04 14:15:16,2026-01-05,B-20260105-001,D-CMB-001,6.939365,79.857121,"No. 185, Canal Road, Pettah, Sri Lanka",Z-CMB-002,01100,industrial,0,False,restricted_access,7.298,38.0,44.5,21.2,0.0358492,cuboid,203.575,False,False,0.0,False,,False,True,False,True,False,,False,,,medium_parcel,standard,door_to_door,False,1,11:01:00,20:01:00,flexible_±30min,0.925,morning
P-0000035,O-0000028,C-0001530,2026-01-04 16:41:00,2026-01-05,B-20260105-001,D-CMB-001,6.831672,79.869042,"No. 51, Temple Road, Mount Lavinia, Sri Lanka",Z-CMB-009,10370,residential,0,False,narrow_lane,29.657,68.8,52.9,45.1,0.164142352,cylinder,180.679,False,False,0.0,False,,False,True,False,True,False,,False,,,large_parcel,express,locker_drop,False,1,14:30:00,17:25:00,flexible_±30min,0.844,any
P-0000036,O-0000029,C-0001109,2026-01-03 08:32:33,2026-01-05,B-20260105-001,D-CMB-001,6.944757,79.858418,"No. 306, Canal Road, Kotahena, Sri Lanka",Z-CMB-011,01300,residential,0,False,standard,1.709,30.5,27.7,22.1,0.018671185,cuboid,91.531,False,False,0.0,False,,False,False,False,False,False,,False,,,medium_parcel,standard,door_to_door,False,1,12:38:00,18:44:00,flexible_±30min,0.891,afternoon
P-0000037,O-0000030,C-0004253,2026-01-03 09:26:40,2026-01-05,B-20260105-001,D-CMB-001,6.93104,79.841317,"No. 88, Union Place, Floor 3, Colombo Fort, Sri Lanka",Z-CMB-001,00100,residential,3,True,standard,6.243,45.4,29.3,24.0,0.03192528,cuboid,195.55,False,True,32.54,False,,False,False,False,False,False,,False,,,medium_parcel,express,door_to_door,False,1,17:16:00,19:48:00,flexible_±30min,0.803,evening
P-0000038,O-0000031,C-0008345,2026-01-03 14:30:42,2026-01-05,B-20260105-001,D-CMB-001,6.924219,79.850051,"No. 57, Temple Road, Floor 2, Slave Island, Sri Lanka",Z-CMB-003,00200,residential,2,True,standard,3.475,48.8,32.0,23.0,0.0359168,cuboid,96.751,False,True,18.41,False,,False,True,False,False,False,,False,,,medium_parcel,priority,door_to_door,False,1,18:54:00,20:37:00,flexible_±30min,0.924,evening
P-0000039,O-0000032,C-0009337,2026-01-04 11:33:14,2026-01-05,B-20260105-001,D-CMB-001,6.909105,79.851423,"No. 368, Union Place, Floor 3, Kollupitiya, Sri Lanka",Z-CMB-004,00300,commercial,3,True,narrow_lane,25.755,75.6,45.9,46.1,0.159968844,irregular,161.0,False,False,0.0,False,,False,False,False,False,False,,False,,,large_parcel,standard,door_to_door,False,1,09:25:00,17:02:00,anytime,0.889,morning
P-0000040,O-0000033,C-0012868,2026-01-04 08:41:59,2026-01-05,B-20260105-001,D-CMB-001,6.888362,79.882546,"No. 126, Park Road, Wellawatte, Sri Lanka",Z-CMB-010,00600,residential,0,False,standard,2.765,39.5,34.5,25.8,0.03515895,cuboid,78.643,False,True,18.81,True,length_width,True,True,False,False,False,,True,6.2,9.0,perishable,priority,door_to_door,False,2,16:29:00,18:01:00,flexible_±30min,0.767,any
P-0000041,O-0000034,C-0017827,2026-01-05 19:27:43,2026-01-05,B-20260105-001,D-CMB-001,6.908129,79.846535,"No. 6, Union Place, Kollupitiya, Sri Lanka",Z-CMB-004,00300,commercial,0,False,standard,0.465,25.8,15.9,12.5,0.00512775,cuboid,90.683,False,True,6.44,False,,False,True,False,True,False,,False,,,small_parcel,standard,door_to_door,False,1,12:10:00,18:32:00,anytime,0.771,afternoon
P-0000042,O-0000035,C-0001580,2026-01-03 17:39:36,2026-01-05,B-20260105-001,D-CMB-001,6.947633,79.860284,"No. 377, Union Place, Floor 4, Kotahena, Sri Lanka",Z-CMB-011,01300,commercial,4,True,standard,2.495,37.8,34.3,21.3,0.027616302,irregular,90.345,True,False,0.0,True,length_width,True,True,False,True,False,,False,,,medium_parcel,standard,door_to_door,False,1,14:13:00,20:55:00,anytime,0.9,afternoon
P-0000043,O-0000036,C-0008075,2026-01-03 18:09:26,2026-01-05,B-20260105-001,D-CMB-001,6.947155,79.86335,"No. 385, Lake Road, Floor 3, Kotahena, Sri Lanka",Z-CMB-011,01300,residential,3,True,standard,3.412,28.8,26.9,15.2,0.011775744,cuboid,289.748,False,True,15.0,False,,False,True,False,False,False,,False,,,small_parcel,standard,door_to_door,False,2,12:47:00,20:11:00,anytime,0.697,afternoon
P-0000044,O-0000037,C-0001319,2026-01-03 09:37:20,2026-01-05,B-20260105-001,D-CMB-001,6.940826,79.854857,"No. 129, Marine Drive, Floor 5, Pettah, Sri Lanka",Z-CMB-002,01100,commercial,5,True,standard,3.808,38.3,22.4,23.6,0.020246912,cuboid,188.078,False,True,20.8,False,,False,True,False,False,False,,False,,,medium_parcel,standard,door_to_door,False,1,12:09:00,20:05:00,flexible_±30min,0.834,afternoon
P-0000045,O-0000037,C-0006935,2026-01-03 07:25:08,2026-01-05,B-20260105-001,D-CMB-001,6.900283,79.867523,"No. 291, Canal Road, Bambalapitiya, Sri Lanka",Z-CMB-005,00400,residential,0,False,standard,9.696,59.0,32.8,22.3,0.04315496,cuboid,224.679,False,True,48.3,False,,False,True,False,False,False,,False,,,medium_parcel,express,collection_point,False,1,11:32:00,15:04:00,fixed,0.808,any
P-0000046,O-0000038,C-0008117,2026-01-05 21:24:23,2026-01-05,B-20260105-001,D-CMB-001,6.939685,79.855245,"No. 100, Galle Road, Pettah, Sri Lanka",Z-CMB-002,01100,commercial,0,False,standard,1.822,43.6,32.1,21.2,0.029670672,cuboid,61.407,False,True,13.26,False,,False,True,False,True,False,,False,,,medium_parcel,priority,door_to_door,False,1,10:23:00,11:54:00,fixed,0.96,morning
P-0000047,O-0000039,C-0015046,2026-01-03 19:06:05,2026-01-05,B-20260105-001,D-CMB-001,6.934779,79.843152,"No. 82, Main Street, Floor 10, Colombo Fort, Sri Lanka",Z-CMB-001,00100,residential,10,True,standard,4.76,49.7,41.0,28.8,0.05868576,cuboid,81.11,False,True,12.9,False,,False,True,False,True,False,,False,,,medium_parcel,express,door_to_door,False,1,14:08:00,17:26:00,flexible_±30min,0.885,afternoon
P-0000048,O-0000040,C-0006020,2026-01-01 17:01:28,2026-01-05,B-20260105-001,D-CMB-001,6.941233,79.857044,"No. 102, Station Road, Floor 5, Pettah, Sri Lanka",Z-CMB-002,01100,commercial,5,True,restricted_access,2.769,44.9,25.5,26.0,0.0297687,cuboid,93.017,True,False,0.0,True,width_height,True,True,False,True,False,,False,,,medium_parcel,standard,door_to_door,False,1,10:37:00,18:41:00,flexible_±30min,0.857,morning
P-0000049,O-0000041,C-0003362,2026-01-01 17:53:26,2026-01-05,B-20260105-001,D-CMB-001,6.934851,79.840977,"No. 112, Palm Grove, Colombo Fort, Sri Lanka",Z-CMB-001,00100,residential,0,False,standard,12.989,73.6,48.9,47.6,0.171314304,irregular,75.82,True,False,0.0,True,length_width,True,False,False,True,False,,False,,,large_parcel,standard,locker_drop,False,1,08:32:00,17:12:00,anytime,0.643,morning
P-0000050,O-0000042,C-0016376,2026-01-03 13:24:12,2026-01-05,B-20260105-001,D-CMB-001,6.940192,79.856011,"No. 235, Market Lane, Pettah, Sri Lanka",Z-CMB-002,01100,industrial,0,False,standard,15.199,73.7,57.5,52.9,0.224176975,cuboid,67.799,False,True,32.45,False,,False,True,False,True,False,,False,,,large_parcel,express,door_to_door,False,1,11:10:00,14:05:00,anytime,0.707,morning
P-0000051,O-0000043,C-0015365,2026-01-05 07:44:22,2026-01-05,B-20260105-001,D-CMB-001,6.95,79.837777,"No. 220, Palm Grove, Colombo Fort, Sri Lanka",Z-CMB-001,00100,industrial,0,False,standard,6.823,36.6,33.3,22.6,0.027544428,cuboid,247.709,False,False,0.0,False,,False,True,False,False,False,,False,,,medium_parcel,priority,door_to_door,False,1,16:04:00,17:31:00,fixed,0.99,evening
P-0000052,O-0000044,C-0003293,2026-01-04 16:44:42,2026-01-05,B-20260105-001,D-CMB-001,6.91042,79.846589,"No. 125, Temple Road, Kollupitiya, Sri Lanka",Z-CMB-004,00300,commercial,0,False,restricted_access,1.017,20.8,22.3,19.7,0.009137648,cuboid,111.298,False,False,0.0,False,,False,False,False,False,False,,False,,,small_parcel,standard,locker_drop,False,1,09:54:00,19:06:00,flexible_±30min,0.909,evening
P-0000053,O-0000045,C-0008489,2026-01-03 10:31:14,2026-01-05,B-20260105-001,D-CMB-001,6.905677,79.850938,"No. 81, Temple Road, Floor 4, Kollupitiya, Sri Lanka",Z-CMB-004,00300,residential,4,False,narrow_lane,0.896,27.3,16.9,15.9,0.007335783,cuboid,122.141,False,False,0.0,False,,False,True,False,False,False,,False,,,small_parcel,standard,door_to_door,False,1,08:45:00,14:58:00,anytime,0.606,morning
P-0000054,O-0000046,C-0000041,2026-01-04 15:08:08,2026-01-05,B-20260105-001,D-CMB-001,6.939471,79.854659,"No. 151, Union Place, Floor 2, Pettah, Sri Lanka",Z-CMB-002,01100,commercial,2,True,narrow_lane,25.002,66.4,48.0,44.2,0.14087424,cuboid,177.477,False,True,95.0,False,,False,True,False,False,False,,False,,,large_parcel,standard,door_to_door,False,1,09:01:00,17:17:00,anytime,0.802,morning
P-0000055,O-0000046,C-0017525,2026-01-02 17:25:39,2026-01-05,B-20260105-001,D-CMB-001,6.941728,79.840209,"No. 18, Duplication Road, Floor 1, Colombo Fort, Sri Lanka",Z-CMB-001,00100,residential,1,False,standard,6.878,67.3,44.2,27.6,0.082100616,irregular,83.775,False,False,0.0,False,,False,True,False,False,False,,False,,,large_parcel,standard,door_to_door,False,1,11:40:00,17:51:00,anytime,0.762,any
P-0000056,O-0000047,C-0015560,2026-01-01 18:06:00,2026-01-05,B-20260105-001,D-CMB-001,6.946905,79.86196,"No. 339, Hospital Road, Floor 10, Kotahena, Sri Lanka",Z-CMB-011,01300,residential,10,True,narrow_lane,1.285,27.2,23.0,9.5,0.0059432,cuboid,216.213,False,False,0.0,False,,False,True,False,False,False,,False,,,small_parcel,express,door_to_door,False,1,09:24:00,12:31:00,flexible_±30min,0.849,morning
P-0000057,O-0000047,C-0013737,2026-01-03 21:40:50,2026-01-05,B-20260105-001,D-CMB-001,6.913279,79.880101,"No. 223, Galle Road, Floor 2, Borella, Sri Lanka",Z-CMB-006,00800,residential,2,False,standard,7.664,48.5,33.0,22.9,0.03665145,cuboid,209.105,False,True,37.34,False,,False,True,False,True,True,corrosive,False,,,hazmat,standard,door_to_door,False,1,10:10:00,16:31:00,flexible_±30min,0.802,morning
P-0000058,O-0000047,C-0012299,2026-01-03 16:59:59,2026-01-05,B-20260105-001,D-CMB-001,6.886506,79.852539,"No. 10, Station Road, Floor 5, Bambalapitiya, Sri Lanka",Z-CMB-005,00400,residential,5,True,standard,1.106,37.1,30.5,16.0,0.0181048,irregular,61.089,False,False,0.0,False,,False,True,False,False,False,,False,,,medium_parcel,standard,door_to_door,False,1,09:40:00,15:50:00,fixed,0.717,morning
P-0000059,O-0000048,C-0015297,2026-01-04 20:29:58,2026-01-05,B-20260105-001,D-CMB-001,6.933839,79.836166,"No. 352, Marine Drive, Floor 6, Colombo Fort, Sri Lanka",Z-CMB-001,00100,residential,6,True,standard,7.54,47.2,30.1,41.8,0.059386096,cuboid,126.966,False,False,0.0,True,length_width,True,True,False,True,True,flammable,False,,,hazmat,standard,door_to_door,False,1,14:24:00,20:37:00,anytime,0.876,evening
P-0000060,O-0000049,C-0005162,2026-01-02 14:06:38,2026-01-05,B-20260105-001,D-CMB-001,6.93374,79.856546,"No. 255, Market Lane, Pettah, Sri Lanka",Z-CMB-002,01100,residential,0,False,narrow_lane,7.739,64.4,35.1,28.3,0.063970452,soft_pack,120.978,False,False,0.0,False,,False,True,False,False,False,,False,,,medium_parcel,standard,collection_point,False,1,12:12:00,20:51:00,flexible_±30min,0.827,afternoon
